"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"LOC121108082" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108083" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108084" 1 2 1 1 0 0 0 0 3 2 0 1 1 0 1 0 0 1
"LOC121108085" 66 76 42 28 26 23 30 38 51 33 40 50 78 68 86 34 33 44
"LOC121108086" 717 1509 1188 2926 2959 3125 1508 1206 1413 1474 1549 1597 1594 1823 1826 2300 2196 2730
"LOC121108087" 16 22 25 74 66 59 11 7 8 1 15 10 3 6 7 13 18 20
"LOC121108088" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108089" 12 18 17 13 13 13 30 12 35 35 27 31 15 18 12 3 1 3
"LOC121108090" 0 0 0 2 2 0 0 2 0 0 2 1 0 0 0 0 1 0
"LOC121108091" 0 0 2 41 35 37 0 1 0 0 0 0 0 1 2 13 6 5
"LOC121108093" 0 1 1 1 2 0 0 1 0 0 0 0 0 0 0 0 1 0
"LOC121108095" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108096" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"LOC121108097" 0 4 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0
"LOC121108098" 4 2 3 5 3 1 1 2 3 5 5 2 2 0 2 4 1 1
"LOC121108100" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108101" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108102" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108103" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108104" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108105" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108106" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108107" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108108" 0 0 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108109" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108110" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108111" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108113" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108114" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121108116" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108117" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108121" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108122" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108123" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108125" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108126" 0 0 2 2 1 1 0 0 0 0 0 0 0 1 0 0 0 0
"LOC121108127" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108128" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108129" 2 4 1 9 3 2 3 2 4 0 2 1 0 5 6 3 2 0
"LOC121108130" 1 0 0 1 1 0 0 1 0 4 0 0 2 1 0 2 0 0
"LOC121108131" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108132" 28 50 31 20 19 14 32 16 27 36 26 40 21 20 21 15 23 18
"LOC121108133" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108135" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108136" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108137" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108138" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108139" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108140" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108141" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108142" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108146" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108147" 0 0 0 0 0 0 0 0 1 2 0 1 0 0 1 0 2 0
"LOC121108149" 0 0 2 1 2 1 0 0 0 1 0 2 0 0 1 0 1 1
"LOC121108150" 0 0 0 8 4 3 0 3 1 0 0 0 0 0 0 0 0 0
"LOC121108151" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"LOC121108152" 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1
"LOC121108153" 114 156 179 41 49 43 144 75 147 142 178 161 128 160 145 83 111 116
"LOC121108155" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108156" 1 0 3 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"LOC121108157" 0 0 1 0 0 0 1 0 0 2 0 2 0 1 1 1 1 0
"LOC121108158" 22 21 23 42 49 35 20 14 25 21 17 11 6 6 4 13 13 10
"LOC121108159" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121108160" 78 100 94 47 53 60 74 50 69 67 68 87 82 90 81 66 69 64
"LOC121108161" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108163" 14 22 13 16 26 27 12 11 9 18 15 14 11 4 9 8 13 5
"LOC121108165" 0 2 2 3 1 2 2 3 0 2 3 5 3 5 4 4 0 4
"LOC121108166" 52 42 65 42 40 46 41 39 65 44 40 72 64 56 69 63 52 120
"LOC121108167" 0 0 0 7 2 4 0 0 0 1 0 1 3 1 5 1 0 1
"LOC121108168" 3 2 3 4 2 0 1 0 2 3 0 3 1 0 1 0 0 0
"LOC121108169" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108170" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108171" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108172" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108173" 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1
"LOC121108174" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108177" 4 3 2 14 4 8 10 6 4 4 5 11 0 0 1 3 5 4
"LOC121108178" 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121108179" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108181" 12 5 11 12 10 3 5 1 3 5 2 4 2 6 5 5 7 6
"LOC121108182" 1 0 0 2 0 2 0 1 0 0 0 0 0 2 1 0 1 2
"LOC121108183" 1 1 1 3 4 2 0 2 0 0 0 0 0 0 1 1 1 5
"LOC121108184" 2 5 3 6 4 3 9 23 10 5 9 12 10 11 16 13 4 7
"LOC121108185" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108186" 16 30 26 11 11 11 1 0 0 0 0 0 20 15 22 17 11 9
"LOC121108187" 0 0 0 21 34 15 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121108188" 2 5 2 1 0 1 0 0 0 0 0 0 1 1 0 0 2 1
"LOC121108190" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108191" 2 8 6 0 0 1 0 0 0 0 0 0 3 1 4 0 1 0
"LOC121108192" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"LOC121108193" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108194" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108195" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108196" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108197" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108198" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121108200" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108201" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108202" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108203" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108204" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108205" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108207" 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0
"LOC121108208" 25 71 43 41 45 38 47 50 50 38 30 39 37 33 56 51 30 57
"LOC121108209" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108210" 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108211" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108212" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108213" 4 5 5 0 0 1 7 4 3 4 4 7 0 0 0 0 0 0
"LOC121108214" 43 47 38 12 24 35 1 0 1 0 0 1 0 0 0 0 0 0
"LOC121108215" 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0
"LOC121108216" 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"LOC121108217" 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0
"LOC121108219" 4 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108220" 0 0 4 3 0 0 1 0 3 0 2 2 0 3 0 0 0 4
"LOC121108221" 6 6 7 4 5 4 3 1 5 5 4 3 14 8 5 5 2 1
"LOC121108222" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108223" 3 5 4 4 7 6 1 3 2 1 0 0 3 0 1 0 0 5
"LOC121108224" 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"LOC121108225" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108226" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108227" 1 3 5 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"LOC121108228" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121108229" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"LOC121108230" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108231" 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 3 0 0
"LOC121108232" 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108233" 0 0 0 6 3 3 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108234" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108235" 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 2 0
"LOC121108237" 0 0 0 1 7 3 0 0 0 0 0 0 0 0 0 2 1 0
"LOC121108239" 4 10 8 0 6 4 12 9 9 12 13 12 15 11 12 6 6 4
"LOC121108240" 1 2 1 0 0 1 2 0 1 0 0 0 4 2 2 0 0 0
"LOC121108241" 2 5 3 0 1 0 0 1 2 3 0 4 4 9 2 0 0 3
"LOC121108242" 24 51 68 7 3 8 23 6 10 11 8 14 38 40 38 34 35 16
"LOC121108244" 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108245" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108246" 0 0 5 6 3 2 0 0 0 0 0 0 0 0 0 0 2 0
"LOC121108248" 9 28 19 3 2 3 21 40 11 17 15 13 11 6 10 7 0 4
"LOC121108249" 29 34 32 59 62 49 21 16 20 19 32 25 34 30 56 79 83 93
"LOC121108250" 2 2 0 0 1 2 0 1 0 2 1 0 0 0 0 1 0 0
"LOC121108251" 750 1142 934 675 740 629 639 596 549 480 531 656 690 659 879 852 917 972
"LOC121108252" 2 1 2 1 2 1 2 1 1 0 1 0 1 0 1 2 3 1
"LOC121108253" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108254" 0 0 0 0 0 1 0 0 0 0 0 0 6 4 6 6 5 6
"LOC121108255" 0 1 1 2 1 0 0 0 0 0 0 0 1 1 0 0 0 2
"LOC121108256" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108258" 1 1 2 3 10 1 3 3 4 3 5 7 2 9 5 4 2 5
"LOC121108259" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108260" 15 15 11 3 6 11 14 18 15 5 9 11 15 7 9 13 8 7
"LOC121108261" 10 9 9 3 0 3 2 5 2 3 2 0 8 6 15 1 5 5
"LOC121108262" 26 19 19 3 2 0 6 1 5 0 3 4 13 8 14 9 5 3
"LOC121108264" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108265" 18 12 12 1 12 11 10 2 16 13 12 16 4 1 0 0 12 24
"LOC121108266" 13 37 34 21 29 34 98 120 84 85 95 94 18 39 20 36 51 40
"LOC121108267" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"LOC121108268" 97 157 148 127 110 91 140 114 88 130 127 115 196 345 165 165 169 230
"LOC121108269" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121108270" 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0
"LOC121108271" 381 364 339 219 195 220 276 277 282 198 225 264 223 214 317 308 317 337
"LOC121108273" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"LOC121108274" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108275" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108276" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108277" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"LOC121108278" 37 78 48 19 20 20 39 35 38 31 28 24 35 44 51 24 17 39
"LOC121108279" 10 14 6 6 2 10 6 7 9 8 10 9 8 9 11 9 5 9
"LOC121108280" 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"LOC121108281" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108282" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108283" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108284" 0 0 0 3 0 0 0 1 2 0 4 0 0 0 0 0 0 0
"LOC121108285" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121108286" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108287" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108288" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108289" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108290" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108291" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108293" 0 1 1 3 0 1 0 0 0 0 0 0 0 0 0 1 0 1
"LOC121108294" 1113 1656 1230 788 779 837 1068 907 947 730 829 920 1099 1198 1474 1337 1427 1329
"LOC121108295" 9 12 8 8 4 2 9 7 4 6 7 4 2 2 3 4 4 1
"LOC121108296" 26 35 43 35 24 31 33 23 34 39 27 25 12 8 22 11 5 9
"LOC121108297" 47 109 55 24 20 31 83 105 68 80 70 71 52 33 59 42 32 38
"LOC121108298" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108299" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108300" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108301" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108302" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108303" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108304" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108305" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108306" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108307" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108308" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108309" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108310" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108311" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108312" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108313" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108314" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108315" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108316" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108317" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108318" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108319" 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108320" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108321" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108322" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108323" 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108326" 0 1 0 10 14 9 0 2 2 1 0 1 1 5 1 7 7 10
"LOC121108327" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108328" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108329" 0 1 5 5 7 8 5 0 4 1 0 2 2 1 1 1 2 4
"LOC121108330" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0
"LOC121108331" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"LOC121108332" 0 0 2 6 1 2 0 1 0 0 1 0 0 1 0 1 0 0
"LOC121108333" 0 2 2 4 4 4 0 0 0 0 0 0 0 0 1 1 1 0
"LOC121108334" 0 1 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108335" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108336" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108339" 1 2 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121108340" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108341" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108342" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108343" 95 193 119 88 76 62 83 138 117 81 82 101 148 138 247 152 152 203
"LOC121108344" 2042 2944 2913 744 775 965 2381 1503 2428 2297 2548 2710 3263 3719 3353 2243 2416 2223
"LOC121108345" 7 11 6 0 2 4 6 6 6 2 4 5 2 4 3 2 4 3
"LOC121108346" 6 7 6 3 1 1 3 6 2 6 5 5 5 2 3 0 3 3
"LOC121108347" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108349" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108350" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108351" 6 3 2 11 18 18 6 4 10 6 5 4 4 0 2 6 2 1
"LOC121108352" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108353" 227 251 300 337 339 414 242 232 233 200 218 282 188 166 224 309 356 337
"LOC121108354" 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108355" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108356" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108357" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108358" 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"LOC121108360" 0 2 0 5 4 4 0 2 2 0 1 0 3 1 1 0 0 0
"LOC121108362" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108363" 1 1 5 6 4 4 2 2 3 1 4 2 0 0 0 3 0 3
"LOC121108364" 0 1 5 2 3 2 0 0 1 1 1 3 2 0 2 1 1 0
"LOC121108365" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108366" 0 1 2 6 1 2 2 0 0 0 1 0 2 0 1 1 1 2
"LOC121108367" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108368" 11 37 23 25 25 34 28 41 34 15 28 28 42 33 42 28 23 26
"LOC121108369" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108370" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108371" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121108372" 2 5 4 2 5 2 4 2 5 1 4 8 3 2 4 3 1 4
"LOC121108373" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108374" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108375" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108376" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108377" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108378" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108379" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108380" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108381" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108382" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121108383" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121108384" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108385" 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108386" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108387" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108388" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108389" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108390" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108391" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108392" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108393" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108397" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108398" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108399" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108400" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108401" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108402" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108403" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108404" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108405" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"LOC121108406" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108407" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108408" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108409" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"LOC121108410" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108411" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108412" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108413" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108414" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108415" 4 11 6 4 6 0 7 7 5 5 3 4 11 8 8 0 2 1
"LOC121108416" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108417" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108418" 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"LOC121108419" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108420" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108421" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108422" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108423" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108424" 0 0 0 0 0 0 1 2 0 1 0 0 1 0 0 0 0 0
"LOC121108425" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108426" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108427" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
